"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Lea County Lovington Magistrate","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","8","12","0","14","6 2","2 2","0 2","0 0 1 1 0","0 5 0 7"
"5","Domestic Violence Misdemeanor","50","54","0","56","49 25","9 15","1 17","2 0 5 11 1","16 20 0 0"
"6","DWI Felony","8","8","0","8","8 3","4 1","0 0","0 0 0 0 2","1 2 0 4"
"7","DWI Misdemeanor","143","138","0","113","168 58","80 30","0 41","2 0 31 8 0","54 16 0 1"
"8","Extradition","18","52","0","51","19 6","11 2","0 0","0 0 0 0 4","0 9 0 38"
"9","Felony","103","283","7","285","109 50","16 43","0 0","0 0 0 0 12","8 65 10 187"
"10","Misdemeanor (Mag)","358","590","5","565","387 213","58 116","0 117","18 2 17 80 33","164 226 3 17"
"11","Traffic","948","2771","1","2579","1144 616","179 349","0 409","149 2 40 216 766","1034 368 0 1"
"12","Total","1636","3908","13","3671","1890 973","359 558","1 586","171 4 94 316 818","1277 711 13 255"
"13","Lea County Tatum Magistrate Court","","","","","","","","",""
"14","Domestic Violence Misdemeanor","1","0","0","0","1 1","0 0","0 0","0 0 0 0 0","0 0 0 0"
"15","Felony","7","0","0","0","7 2","2 3","0 0","0 0 0 0 0","0 0 0 0"
"16","Misdemeanor (Mag)","9","0","0","1","8 4","1 3","0 0","0 0 0 0 1","0 0 0 0"
"17","Traffic","7","0","0","1","6 2","2 2","0 0","0 0 0 0 0","1 0 0 0"
"18","Total","24","0","0","2","22 9","5 8","0 0","0 0 0 0 1","1 0 0 0"
"19","Lincoln County Carrizozo Magistrate","","","","","","","","",""
"20","Court","","","","","","","","",""
"21","Domestic Violence Felony","2","5","0","4","3 1","0 2","0 0","0 0 0 0 0","0 0 0 3"
"22","Domestic Violence Misdemeanor","20","24","0","22","22 7","9 6","3 2","0 1 1 3 0","13 4 0 0"
"23","DWI Felony","3","2","0","3","2 1","0 1","0 0","0 0 0 0 0","1 0 0 2"
"24","DWI Misdemeanor","29","25","0","22","32 19","10 3","3 0","3 0 0 0 0","18 2 0 0"
"25","Extradition","0","19","0","19","0 0","0 0","0 0","0 0 0 0 0","0 1 0 17"
"26","Felony","151","82","0","94","139 81","18 40","0 0","0 0 0 0 5","2 13 0 72"
"27","Misdemeanor (Mag)","251","134","2","141","245 125","28 92","7 5","5 4 1 2 7","101 23 2 1"
"28","Traffic","690","751","1","689","755 393","43 319","0 130","38 4 68 20 76","416 75 0 0"
"29","Total","1146","1042","3","994","1198 627","108 463","13 137","46 9 70 25 88","551 118 2 95"
