"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","San Juan County Farmington","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Magistrate Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","19","82","0","73","27 14","0 13","0 0","0 0 0 0 0","20 35 0 19"
"5","Domestic Violence Misdemeanor","273","402","0","367","305 179","18 108","8 2","3 0 2 5 7","127 221 2 0"
"6","DWI Felony","5","78","1","73","12 4","2 6","1 0","1 0 0 0 1","6 4 2 59"
"7","DWI Misdemeanor","176","190","0","206","163 98","25 40","9 7","8 2 5 1 5","144 41 3 5"
"8","Extradition","1","68","0","66","3 3","0 0","0 0","0 0 0 0 0","0 1 0 65"
"9","Felony","260","791","4","761","293 148","7 138","0 0","0 0 0 0 25","120 148 6 474"
"10","Misdemeanor (Mag)","657","824","5","772","720 404","51 265","1 11","2 0 2 8 14","314 457 14 1"
"11","Contempt","0","1","0","0","1 1","0 0","0 0","0 0 0 0 0","0 0 0 0"
"12","Traffic","1226","2123","3","2192","1170 710","88 372","0 589","259 9 63 258 506","866 263 4 0"
"13","Total","2617","4559","13","4510","2694 1561","191 942","19 609","273 11 72 272 558","1597 1170 31 623"
"14","San Miguel County Las Vegas","","","","","","","","",""
"15","Magistrate Court","","","","","","","","",""
"16","Domestic Violence Felony","7","25","1","23","11 5","3 3","0 0","0 0 0 0 1","4 0 0 14"
"17","Domestic Violence Misdemeanor","89","105","1","127","68 22","30 16","0 1","0 0 0 0 5","97 19 1 1"
"18","DWI Felony","26","31","4","32","29 4","19 6","0 0","0 0 0 0 1","4 1 3 21"
"19","DWI Misdemeanor","166","127","2","119","174 57","57 60","2 4","1 1 2 1 0","102 6 3 1"
"20","Extradition","17","17","0","9","25 5","20 0","0 0","0 0 0 0 0","0 1 0 7"
"21","Felony","162","395","23","431","148 42","48 58","0 0","0 0 0 0 5","56 31 22 277"
"22","Misdemeanor (Mag)","903","779","1","916","766 153","367 246","1 16","3 0 2 12 97","442 293 1 7"
"23","Traffic","1853","2600","3","3146","1313 353","558 402","0 132","40 0 14 71 753","1907 264 2 6"
"24","Total","3223","4079","35","4803","2534 641","1102 791","3 153","44 1 18 84 862","2612 615 32 334"
"25","Sandoval County Bernalillo","","","","","","","","",""
"26","Magistrate Court","","","","","","","","",""
"27","Domestic Violence Felony","32","46","0","54","24 10","4 10","0 1","0 0 0 1 5","11 32 0 5"
"28","Domestic Violence Misdemeanor","304","386","1","389","303 150","32 121","1 145","5 3 10 127 28","14 194 6 1"
"29","DWI Felony","13","17","1","20","11 4","5 2","0 1","0 0 1 0 0","3 7 1 8"
"30","DWI Misdemeanor","214","199","3","204","216 118","30 68","1 76","19 6 15 37 15","68 36 8 1"
"31","Felony","470","910","2","880","503 258","60 185","0 2","0 1 0 1 52","120 423 7 282"
"32","Misdemeanor (Mag)","659","933","2","896","695 313","60 322","1 33","4 2 4 24 84","185 603 4 2"
"33","Traffic","1033","2559","10","2516","1088 491","79 518","0 189","131 3 6 49 1129","907 306 10 2"
"34","Total","2725","5050","19","4959","2840 1344","270 1226","3 447","159 15 36 239 1313","1308 1601 36 301"
