"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at 0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Statewide Magistrate Court","Start New","","Re Open","Closed","End Months Months","Inact. BW Jury Non Jury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Contempt","0 21","","0","3","18 17","0 1 0 0","","0 0 0 0 1","2 0 0 0"
"5","Domestic Violence Felony","342 918","","6","860","414 177","102 135 0 3","","0 0 1 2 57","121 362 10 327"
"6","Domestic Violence Misdemeanor","4673 5726","","16","5667","4776 2182","851 1743 95 484","","72 50 112 339 218","1705 3114 42 66"
"7","DWI Felony","377 514","","30","550","373 107","188 78 2 1","","1 1 1 0 29","82 109 36 301"
"8","DWI Misdemeanor","6420 5053","","45","5100","6450 2643","1428 2379 162 439","","182 60 229 129 149","3024 1501 93 117"
"9","Extradition","215 1022","","2","1004","237 60","146 31 0 0","","0 0 0 0 23","0 83 2 880"
"10","Felony","8803 14241","","223","14248","9051 3748","2252 3051 6 14","","7 3 5 5 595","1325 4145 262 8020"
"11","Misdemeanor (Mag)","25878 26152","","133","26242","25984 9176","3116 13692 72 1886","","378 56 540 977 1500","10467 12573 166 114"
"12","Traffic","64232 88931","","67","89174","64092 19404","15142 29546 4 6153","","2814 98 760 2474 17054","44697 22716 76 36"
"13","Total","110940 142578","","522","142848 111395","37514","23225 50656 341 8980","","3454 268 1648 3926 19626","61423 44603 687 9861"
