"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Valencia County Los Lunas","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Magistrate Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","18","49","0","42","25 13","5 7","0 0","0 0 0 0 13","5 18 1 6"
"5","Domestic Violence Misdemeanor","174","223","0","220","177 90","32 55","2 57","7 3 6 43 41","17 99 0 1"
"6","DWI Felony","10","11","0","15","6 3","1 2","0 0","0 0 0 0 2","6 2 0 5"
"7","DWI Misdemeanor","248","178","1","161","270 157","64 49","2 57","5 9 18 27 22","57 22 7 1"
"8","Extradition","8","26","0","28","5 1","2 2","0 0","0 0 0 0 1","0 1 0 26"
"9","Felony","408","616","0","606","416 230","82 104","0 0","0 0 0 0 98","75 267 3 172"
"10","Misdemeanor (Mag)","982","802","5","797","988 482","144 362","0 93","7 1 17 67 49","152 517 5 5"
"11","Traffic","974","2756","1","2746","979 428","201 350","0 58","22 0 2 34 623","1690 397 1 0"
"12","Total","2822","4661","7","4615","2866 1404","531 931","4 265","41 13 43 171 849","2002 1323 17 216"
