"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Rio Arriba County Espanola","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Magistrate Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","60","27","0","26","61 7","53 1","0 0","0 0 0 0 0","0 22 0 4"
"5","Domestic Violence Misdemeanor","119","66","0","78","110 37","48 25","0 0","0 0 0 0 5","17 52 0 3"
"6","DWI Felony","74","25","7","30","76 8","66 2","0 0","0 0 0 0 0","1 21 6 1"
"7","DWI Misdemeanor","214","153","5","150","221 104","49 68","4 0","2 0 2 0 6","104 38 2 0"
"8","Extradition","26","8","0","6","28 3","25 0","0 0","0 0 0 0 0","0 2 0 4"
"9","Felony","819","386","10","391","826 82","706 38","0 2","0 0 1 1 3","5 313 15 40"
"10","Misdemeanor (Mag)","703","1085","2","980","803 319","228 256","0 73","9 0 15 49 25","149 749 2 1"
"11","Traffic","2599","4737","2","4553","2754 958","1281 515","0 100","12 1 6 80 394","1902 2306 1 2"
"12","Total","4614","6487","26","6214","4879 1518","2456 905","4 175","23 1 24 130 433","2178 3503 26 55"
"13","Roosevelt County Portales","","","","","","","","",""
"14","Magistrate Court","","","","","","","","",""
"15","Domestic Violence Felony","1","14","0","12","3 1","0 2","0 0","0 0 0 0 0","3 3 0 6"
"16","Domestic Violence Misdemeanor","43","50","0","48","45 20","1 24","3 0","2 1 0 0 1","23 20 0 0"
"17","DWI Felony","2","0","0","0","2 0","0 2","0 0","0 0 0 0 0","0 0 0 0"
"18","DWI Misdemeanor","83","38","0","42","79 22","11 46","1 0","1 0 0 0 0","33 5 0 2"
"19","Extradition","2","24","0","25","2 1","0 1","0 0","0 0 0 0 1","0 0 0 24"
"20","Felony","127","238","2","239","129 44","9 76","1 0","1 0 0 0 6","23 37 2 173"
"21","Misdemeanor (Mag)","428","306","0","309","426 98","35 293","4 4","3 1 4 0 8","180 114 0 0"
"22","Traffic","448","1003","2","1032","417 88","20 309","0 10","4 0 5 1 144","783 89 2 0"
"23","Total","1134","1673","4","1707","1103 274","76 753","9 14","11 2 9 1 160","1045 268 4 205"
"24","San Juan County Aztec Magistrate","","","","","","","","",""
"25","Court","","","","","","","","",""
"26","Domestic Violence Felony","11","63","0","59","15 6","1 8","0 0","0 0 0 0 2","15 22 0 22"
"27","Domestic Violence Misdemeanor","197","272","2","275","196 117","12 67","4 6","0 2 0 8 11","78 172 4 0"
"28","DWI Felony","6","39","0","40","5 2","0 3","0 0","0 0 0 0 0","4 2 0 35"
"29","DWI Misdemeanor","340","337","2","279","400 246","81 73","11 3","2 3 5 4 10","181 71 3 4"
"30","Extradition","0","48","0","48","0 0","0 0","0 0","0 0 0 0 0","0 0 0 48"
"31","Felony","227","667","1","626","270 154","8 108","0 0","0 0 0 0 11","96 125 2 395"
"32","Misdemeanor (Mag)","821","1641","4","1438","1031 616","74 341","1 11","6 3 0 3 45","741 646 5 1"
"33","Traffic","1470","3558","1","3576","1461 1012","66 383","0 603","187 7 78 331 461","1753 775 2 0"
"34","Total","3072","6625","10","6341","3378 2153","242 983","16 623","195 15 83 346 540","2868 1813 16 505"
