"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition","Non‐Trial Manner of Disposition"
"2","Santa Fe County Santa Fe Magistrate Pend at","","","","Pend at","0 ‐ 6","> 6 Inact.","","Plea At Dism At","Dism Bef Plea Bef Dism By Post J"
"3","Court Start","New","Re open","Closed","End","Months","Months BW","Jury NonJury","Convict Acquit Trial Trial","Trial Trial Pros Activ Other"
"4","Domestic Violence Felony 39","105","1","64","81","36","24 21","0 0","0 0 0 0","0 7 51 0 5"
"5","Domestic Violence Misdemeanor 672","566","1","511","726","247","326 153","4 3","1 1 2 3","9 149 349 0 2"
"6","DWI Felony 79","49","9","58","79","26","42 11","0 0","0 0 0 0","1 2 31 16 8"
"7","DWI Misdemeanor 909","396","18","489","832","259","278 295","18 26","19 4 10 11","8 202 207 38 1"
"8","Extradition 22","39","0","39","22","5","17 0","0 0","0 0 0 0","0 0 7 0 32"
"9","Felony 957","1507","17","1385","1096","519","282 295","2 0","2 0 0 0","37 166 754 22 410"
"10","Misdemeanor (Mag) 2322","1983","19","2107","2215","672","982 561","0 8","2 0 2 4","210 605 1278 18 12"
"11","Traffic 7768","6670","6","7164","7284","1447","4706 1131","0 433","243 4 38 147","2303 2601 1920 5 4"
"12","Total 12768","11315","71","11817","12335","3211","6657 2467","24 470","267 9 52 165","2568 3732 4597 99 474"
"13","Sierra County T or C Magistrate Court","","","","","","","","",""
"14","Domestic Violence Felony 2","4","0","5","1","0","0 1","0 0","0 0 0 0","0 1 2 0 3"
"15","Domestic Violence Misdemeanor 25","51","0","46","30","9","6 15","0 4","0 2 2 0","0 19 25 0 2"
"16","DWI Felony 2","3","0","3","2","1","0 1","0 0","0 0 0 0","0 1 0 1 1"
"17","DWI Misdemeanor 99","79","1","71","108","31","2 75","2 3","1 1 3 0","1 56 20 0 3"
"18","Extradition 0","13","0","13","0","0","0 0","0 0","0 0 0 0","0 0 0 0 12"
"19","Felony 77","144","18","165","75","13","1 61","0 0","0 0 0 0","11 12 21 15 106"
"20","Misdemeanor (Mag) 568","572","1","472","667","173","9 485","1 33","10 1 9 14","53 229 164 0 8"
"21","Traffic 1242","1523","3","1439","1332","251","85 996","0 136","106 2 19 9","362 565 410 3 0"
"22","Total 2015","2389","23","2214","2215","478","103 1634","3 176","117 6 33 23","427 883 642 19 135"
"23","Socorro County Socorro Magistrate","","","","","","","","",""
"24","Court","","","","","","","","",""
"25","Domestic Violence Felony 10","15","0","18","7","4","0 3","0 0","0 0 0 0","1 3 12 0 2"
"26","Domestic Violence Misdemeanor 69","111","1","112","69","35","8 26","0 17","2 1 3 11","4 13 77 0 1"
"27","DWI Felony 10","4","0","8","6","3","1 2","0 0","0 0 0 0","1 4 1 0 2"
"28","DWI Misdemeanor 97","85","0","91","90","54","9 27","0 15","4 3 5 3","4 44 32 0 0"
"29","Extradition 0","3","0","3","0","0","0 0","0 0","0 0 0 0","0 0 0 0 3"
"30","Felony 153","283","21","353","105","45","2 58","0 0","0 0 0 0","20 40 89 25 185"
"31","Misdemeanor (Mag) 500","708","10","754","465","272","31 162","0 187","9 8 22 148","110 121 326 10 4"
"32","Traffic 746","1482","1","1464","767","489","47 231","0 68","33 1 6 28","427 513 514 0 1"
"33","Total 1585","2691","33","2803","1509","902","98 509","0 287","48 13 36 190","567 738 1051 35 198"
